Star,FileName,RAdeg,DEdeg,Dist,Rad,Rad-Flame,Mass-Flame
HD 194453,xsl_spectrum_X0288_merged.fits,306.35596048179,6.6417927872,188.7418,2.9502,3.0796,2.835
HD 195729,xsl_spectrum_X0695_merged.fits,308.2371289763,2.42747359271,190.1584,2.3123,2.308,2.375
HD 196125,xsl_spectrum_X0673_merged.fits,308.8623030639,-2.05147319365,138.6776,2.352,2.3338,1.74
HD 196218,xsl_spectrum_X0696_merged.fits,308.92800170278,3.30259101513,55.3921,1.4826,1.4873,1.203
HD 196426,xsl_spectrum_X0199_merged.fits,309.32660986556,0.09690358303,183.0778,3.6312,3.4177,3.57
HD 196426,xsl_spectrum_X0289_merged.fits,309.32660986556,0.09690358303,183.0778,3.6312,3.4177,3.57
CD-30 18140,xsl_spectrum_X0682_merged.fits,311.02756632701,-30.00250628176,146.0025,0.3244,0.3217,
HD 200081,xsl_spectrum_X0177_merged.fits,315.34340248054,-2.51404188036,275.6224,8.7316,9.4012,2.697
HD 200081,xsl_spectrum_X0292_merged.fits,315.34340248054,-2.51404188036,275.6224,8.7316,9.4012,2.697
HD 200494,xsl_spectrum_X0438_merged.fits,315.91316699339,2.92636506994,136.8553,8.484,8.4981,1.373
HD 201053,xsl_spectrum_X0436_merged.fits,316.77061451849,5.4434541595,173.0141,10.4143,10.3944,2.501
HD 201237,xsl_spectrum_X0721_merged.fits,317.17309964293,-19.99585516759,54.1606,0.8123,0.811,
HD 201237,xsl_spectrum_X0722_merged.fits,317.17309964293,-19.99585516759,54.1606,0.8123,0.811,
HD 201237,xsl_spectrum_X0723_merged.fits,317.17309964293,-19.99585516759,54.1606,0.8123,0.811,
HD 201377,xsl_spectrum_X0433_merged.fits,317.31698882332,-0.23494053553,101.4386,1.9544,1.963,2.372
HD 201626,xsl_spectrum_X0197_merged_ncge.fits,317.4967464001,26.61540602136,267.5151,9.8857,11.2553,3.003
HD 201626,xsl_spectrum_X0274_merged.fits,317.4967464001,26.61540602136,267.5151,9.8857,11.2553,3.003
G187-40,xsl_spectrum_X0198_merged.fits,320.49163509022,27.45356629632,105.4852,0.7613,0.7646,
G187-40,xsl_spectrum_X0198_merged.fits,320.49016617326,27.451542884,1345.4694,0.9233,0.8759,
HD 204155,xsl_spectrum_X0179_merged.fits,321.67951211271,5.44054408791,75.0626,1.3844,1.385,1.031
HD 204155,xsl_spectrum_X0275_merged.fits,321.67951211271,5.44054408791,75.0626,1.3844,1.385,1.031
NGC 7078 1079,xsl_spectrum_X0388_merged.fits,322.56523184861,12.13970508254,4408.1763,10.449,10.3983,3.077
